date,sessions,signups,trials_started,active_users,mrr,arr,cac,latency_ms,latency_sec,p99_latency_ms,cpu_util_pct,error_rate,success_rate,uptime_pct,churn_pct,support_tickets,nps
2024-01-01,4869.8901,63.5145,46.3443,1439.8196,48670.6960,584089.9373,237.7713,177.2401,0.1772,587.2066,47.9980,0.0186,0.9814,99.3572,2.4604,89.0335,44.8521
2024-01-02,5323.3121,75.1961,54.2924,1838.1018,51520.4709,618261.8963,231.5541,185.4895,0.1855,611.8187,43.0650,0.0212,0.9788,99.2522,2.4021,87.5904,40.2061
2024-01-03,5872.1096,83.6853,59.7816,1811.7251,52767.3577,633241.4490,227.5065,182.4513,0.1825,617.9248,43.9463,0.0186,0.9814,99.3503,2.4197,86.6352,38.5544
2024-01-04,5626.2377,84.2123,61.1240,1790.8648,51770.1421,621283.6264,230.5752,179.2646,0.1793,588.2956,46.5112,0.0190,0.9810,99.3279,2.4708,88.7895,42.7820
2024-01-05,6040.0236,84.1747,60.5178,1894.3939,51875.6305,622563.1996,227.1682,194.4830,0.1945,660.8380,49.2067,0.0217,0.9783,99.2625,2.1690,90.0948,40.1540
2024-01-06,5515.7088,73.9145,53.6048,1711.1413,51042.6142,612552.0199,225.6017,193.7519,0.1938,670.3670,43.7014,0.0222,0.9778,99.2222,2.1781,91.7711,42.1437
2024-01-07,5696.7138,84.1679,60.3258,1877.0589,50506.6763,606076.0996,234.5261,202.2898,0.2023,656.2820,46.4044,0.0226,0.9774,99.1777,2.1032,91.9193,42.7894
2024-01-08,5723.4565,75.3389,54.4221,1813.5403,51490.9097,617893.9510,233.5103,189.6535,0.1897,643.2903,44.0524,0.0214,0.9786,99.2325,2.3333,91.7783,49.1903
2024-01-09,5921.7385,82.3336,58.4761,1840.1714,51782.3173,621403.7954,237.8311,191.9999,0.1920,657.3302,44.6819,0.0210,0.9790,99.2991,2.3111,92.7678,44.7597
2024-01-10,5172.8341,70.9255,51.2499,1637.9644,48356.9371,580278.0769,243.9331,197.1981,0.1972,664.5451,45.1878,0.0226,0.9774,99.2326,2.1209,92.3207,42.7848
2024-01-11,5998.0274,83.8024,59.5850,1914.2808,51724.6517,620686.0960,241.8318,178.8807,0.1789,613.5417,41.4034,0.0188,0.9812,99.3585,2.3511,93.7071,42.3173
2024-01-12,6069.9933,79.1996,57.1036,1966.9284,50484.9775,605893.2957,243.1189,172.0359,0.1720,591.5749,37.7419,0.0165,0.9835,99.4064,2.5683,93.8756,43.0489
2024-01-13,6068.8743,87.3745,61.6549,1974.8116,52348.9876,628206.9842,237.1297,149.6582,0.1497,522.1462,36.1914,0.0125,0.9875,99.5737,3.2291,94.8428,43.4643
2024-01-14,6252.5049,90.6374,65.2263,1978.8474,52920.5508,635121.5621,232.5716,148.0514,0.1481,536.6613,30.1032,0.0122,0.9878,99.5931,3.2186,93.9150,40.1768
2024-01-15,5990.3942,84.8466,61.4459,1920.9226,51052.3507,612597.4176,235.7611,143.6916,0.1437,493.0396,35.0441,0.0120,0.9880,99.5818,3.3864,96.1200,43.5303
2024-01-16,6318.0265,91.1586,65.8730,2184.0958,51863.5830,622361.1185,234.7299,152.7692,0.1528,509.1458,33.6158,0.0133,0.9867,99.5492,3.0833,96.3811,39.9872
2024-01-17,6654.9567,95.9450,69.6709,2150.3336,53000.7647,635991.6991,229.9593,159.3982,0.1594,530.1533,36.0619,0.0132,0.9868,99.5621,2.8991,97.1969,40.3459
2024-01-18,6625.5193,94.8013,67.7254,2243.0165,53144.7808,637721.6789,232.8421,143.0021,0.1430,471.8480,31.3072,0.0111,0.9889,99.6324,3.3644,96.3084,41.7573
2024-01-19,6586.6525,94.0232,68.4709,2123.9733,53083.7277,636993.0578,234.9096,143.3037,0.1433,496.4343,36.9770,0.0119,0.9881,99.5934,3.3907,95.4874,45.0268
2024-01-20,6667.8638,94.7064,68.9814,2199.9437,53142.4620,637704.4746,239.6789,165.4094,0.1654,567.1082,32.4701,0.0152,0.9848,99.4768,2.7515,96.3445,44.4581
2024-01-21,6616.1509,86.4758,61.6681,2125.6818,51909.9693,622902.2063,236.1838,165.5485,0.1655,569.0931,39.4022,0.0148,0.9852,99.4572,2.7007,94.3741,33.2741
2024-01-22,5964.5754,84.3205,60.3165,1842.2982,50862.2145,610417.8911,228.8201,181.6609,0.1817,620.6407,41.0117,0.0186,0.9814,99.3445,2.4809,95.8860,45.5931
2024-01-23,6208.5322,78.0100,55.8837,2005.3577,51920.8785,623077.1856,239.1870,183.6572,0.1837,644.3394,40.5105,0.0177,0.9823,99.3962,2.2853,95.1801,42.1935
2024-01-24,6050.1072,77.0993,55.4989,2043.3607,50546.3077,606526.0339,232.9261,198.4296,0.1984,688.4949,48.1623,0.0208,0.9792,99.3074,2.1493,96.3558,42.2494
2024-01-25,5306.4974,71.9743,51.9121,1836.0222,49471.0780,593631.1797,239.5159,209.0263,0.2090,723.5342,49.2017,0.0243,0.9757,99.1542,2.0597,95.5765,46.3209
2024-01-26,4919.0172,65.3445,45.8271,1703.0265,48663.3897,583990.0750,229.3191,213.1969,0.2132,717.2280,50.5839,0.0237,0.9763,99.1934,2.1641,95.5323,39.8861
2024-01-27,5028.1958,59.8626,43.3930,1635.9080,47864.8634,574399.8160,233.8513,211.5379,0.2115,715.9078,50.5093,0.0236,0.9764,99.1762,2.1681,95.6456,38.9265
2024-01-28,4415.0055,54.6207,39.1994,1457.2863,47695.9212,572326.7757,226.9716,233.0897,0.2331,777.3077,53.1997,0.0278,0.9722,99.0092,2.1233,96.7625,36.1528
2024-01-01,3967.8432,46.9411,33.2929,1265.8570,45010.3910,540161.2168,229.6297,221.8018,0.2218,746.8259,56.1296,0.0259,0.9741,99.1032,2.1108,95.7419,38.5200
2024-01-02,3949.4702,43.8381,32.0311,1343.4406,45849.9024,550141.9852,231.4934,193.1094,0.1931,658.2228,47.7652,0.0206,0.9794,99.2888,2.1969,96.4195,44.4257
2024-02-03,4495.2825,51.7153,37.0630,1541.8606,46067.5001,552791.1941,235.6993,219.8753,0.2199,733.3426,49.2228,0.0243,0.9757,99.1302,2.0204,96.7860,39.6025
2024-02-04,4280.5900,46.1260,33.7704,1434.9672,45974.8309,551766.2933,244.6677,190.8868,0.1909,641.8695,44.9867,0.0194,0.9806,99.3044,2.2011,97.7312,38.9317
2024-02-05,3755.7651,42.2909,30.7110,1208.1983,45156.8275,541778.6120,239.7126,195.7753,0.1958,690.6479,44.4245,0.0221,0.9779,99.2279,2.2160,96.7332,43.1437
2024-02-06,4273.1119,44.1231,31.6087,1433.3422,46269.5709,555226.7014,228.4021,206.1822,0.2062,699.3631,48.2039,0.0226,0.9774,99.1998,2.1551,96.7488,38.9891
2024-02-07,4673.6766,53.6070,39.1743,1533.3825,47716.9706,572642.7030,231.8421,202.1581,0.2022,669.7338,50.0600,0.0234,0.9766,99.1912,2.1006,95.8725,39.7381
2024-02-08,4531.1824,45.5463,33.1895,1506.6629,46609.4171,559307.1939,228.6190,224.1421,0.2241,747.5610,54.8762,0.0265,0.9735,99.0454,2.1139,95.4242,39.5897
2024-02-09,4375.5168,52.9668,37.8845,1411.6265,49103.6044,589212.2495,224.9067,209.6318,0.2096,712.2719,49.4090,0.0232,0.9768,99.2045,2.1572,96.7282,43.1448
2024-02-10,4783.8832,66.3515,46.9748,1555.0811,50139.1972,601635.0520,223.5070,198.4704,0.1985,685.5806,45.7990,0.0221,0.9779,99.2142,2.2543,98.1707,39.9151
2024-02-11,4762.5705,60.2844,43.1326,1485.0698,49402.0500,592742.1170,226.6927,204.6062,0.2046,695.1714,48.0951,0.0239,0.9761,99.1711,2.1503,97.0592,40.4678
2024-02-12,4540.0010,55.3128,40.1277,1401.8549,48760.0744,585068.3135,213.8748,213.3655,0.2134,736.5154,48.3711,0.0245,0.9755,99.1106,2.0516,96.8744,41.4043
2024-02-13,4520.8918,65.5356,47.0658,1284.8172,51349.7393,616199.4241,217.7935,229.8802,0.2299,785.9593,55.0536,0.0283,0.9717,99.0301,2.0503,96.7963,36.5170
2024-02-14,4432.6722,66.7043,48.8957,1417.4099,51708.6787,620481.5294,214.8134,236.9093,0.2369,792.5896,57.4703,0.0294,0.9706,98.9753,2.2066,95.6628,41.1936
2024-02-15,5017.3110,72.8438,52.5740,1587.5809,52165.5234,625985.7151,204.1689,223.0868,0.2231,771.5719,52.6094,0.0268,0.9732,99.1060,2.0919,95.2000,36.5920
2024-02-16,4571.1242,66.4860,47.9637,1372.7455,51537.6192,618445.4443,214.4891,243.3567,0.2434,822.5077,57.2318,0.0308,0.9692,98.8896,2.2422,93.9169,38.3823
2024-02-17,4080.8282,61.1576,44.2303,1365.4061,51474.2273,617701.9471,206.9466,247.4034,0.2474,864.5593,58.7133,0.0319,0.9681,98.8480,2.2926,94.5968,40.5097
2024-02-18,3925.4942,67.2223,47.9617,1289.5261,50318.3770,603754.7093,201.1435,244.9974,0.2450,826.4524,60.7086,0.0318,0.9682,98.9032,2.2656,93.4568,42.2474
2024-02-19,3439.3803,45.5246,32.7149,1161.1301,48499.8015,581985.3561,205.5615,230.6478,0.2306,783.0596,56.1619,0.0292,0.9708,98.9948,2.1588,95.1683,41.1422
2024-02-20,3426.4349,47.7430,34.0460,1037.4110,49110.4018,589311.3462,201.9452,207.1050,0.2071,698.1543,49.1402,0.0269,0.9731,99.0222,2.1578,92.8081,45.0153
