ASSET,BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NIMY,NONII,NONIX,NUMEMP,ORE,ROA,ROE,SC,SCMUNI,SCUS,TRADE
333667000,2436000,128321000,258582000,190845000,2113000,27000,26127000,7489000,8548000,2881000,307540000,0,135000,0,3590000,0,50000,38810000,38675000,296000,3062000,0,0,1191000,1871000,0,534000,1.2161712774549083,2333000,2384000,43940,0,0.6814429618522743,8.29,101263000,340000,59262000,5126000
184534,4999,4300,153456,153456,928,-748,8938,3975,156,2507,175596,12492,866,1231,7509,4395,0,123301,122435,0,98803,66774,1931,458,8670,20970,1195,3.8440470828819397,377,1503,40,251,2.618224044389305,55.45,40034,3953,34328,0
47626,265,1644,44785,44785,126,0,2717,2025,0,482,44909,2637,134,244,7064,878,0,15885,15751,145,5161,189,0,0,4810,162,63,3.1145084916286647,39,332,9,54,0.5178206326864001,9.11,26398,6562,19588,0
300810,1541,21061,268970,268970,2319,310,31077,0,0,4657,269733,9448,4003,24158,26698,54108,0,243947,239944,1026,152285,39140,13482,619,21106,77938,494,3.334420799483721,104,1481,45,46,0.6691579480285069,6.4,28411,9819,18592,0
358884,2699,29931,323272,323272,1231,60,29021,1625,0,4069,329863,9,2220,419,4902,2191,0,176812,174592,4000,166271,1504,22735,6999,84562,50471,989,3.383904098870094,608,2001,48,0,1.1131918581665257,13.52,137584,51939,85647,0
410941,2270,6824,372669,372669,1963,45,33672,26975,0,5697,377269,1657,3994,718,14057,1529,0,289465,285471,784,271794,47883,59659,773,68770,94709,1182,3.821669088899351,237,2416,62,974,1.1564935350837282,14.13,82472,28222,54252,0
119954,892,21412,109602,109602,89,0,10052,0,0,1448,109902,5359,1896,585,4767,2357,0,46451,44555,1935,31917,11212,1278,620,9460,9347,573,4.578243238121708,155,941,29,0,1.8698298226435415,21.84,51888,17609,34279,0
227464,4695,27570,211434,211434,852,0,14190,6740,0,2587,213274,10179,2931,2042,34057,8587,0,117909,114978,0,65086,12845,740,0,504,50997,293,3.1257811637904824,171,1507,48,25,0.5003853223151787,8.16,67902,15765,52137,0
390685,5604,12154,330529,330529,1115,0,38658,12100,928,4400,352027,0,3894,537,5586,2305,0,214746,210852,0,206826,0,74102,7923,59848,64953,986,3.598930181028379,488,2520,68,0,1.0318921118074986,10.32,142380,84796,57660,0
370378,6869,92349,329097,329097,570,150,22112,0,0,4259,348266,0,1485,3195,12946,4798,0,119401,117916,298,101616,495,10659,13338,45579,31545,1152,4.29183675546914,616,2685,73,0,1.2368660155762445,21.61,136633,39439,65689,0
177852,4383,17559,161986,161986,810,177,14686,0,0,2788,163166,420,1361,4102,12606,12052,0,140512,139151,100,115297,8523,11831,47,20590,74306,511,4.934544932923369,179,1312,35,15,1.1878886499680363,14.07,13047,0,13047,0
2146581,20169,613163,1898426,1898426,2500,865,229099,0,5964,29856,1917482,407,15841,19541,62452,69039,0,854825,838984,2409,711315,5172,183647,16421,250616,255459,15758,5.252990763676864,7544,13974,413,468,2.8795791187570554,28.3,638407,32064,559827,0
445201,6097,24695,377124,377124,1808,90,24865,50931,0,6280,420336,802,5003,1308,19840,6318,0,280589,275586,0,253104,11854,41093,14293,93263,92601,3087,4.566981804070149,827,2122,53,0,2.9147802112200627,47.3,84866,18566,62449,0
57646,634,8238,50413,50413,349,3,3127,0,0,761,54519,0,198,2,0,288,0,33015,32817,1481,31285,722,1628,0,535,28400,-181,2.9964998409018593,10,600,14,0,-1.255625601581672,-22.43,15132,6569,8557,0
129847,472,9017,115941,115941,402,0,11776,0,2895,1238,118071,577,971,1080,4488,4355,0,38225,37254,0,28794,4639,2633,0,5525,15997,150,2.887874639987219,77,765,19,0,0.4684608718056824,4.99,72030,40553,29265,0
410399,2466,5637,358251,358251,846,147,36580,157,2608,4771,373819,35262,4565,482,31776,791,0,250346,245781,1853,180664,35451,13760,4888,107136,19429,2066,4.099200655872105,510,2222,61,0,1.9926048896460016,22.82,135588,74826,59009,0
298155,1644,4712,237142,237142,1603,90,20491,1655,0,3326,277664,6028,2576,1883,3070,3301,0,221812,219236,4369,205031,24374,6307,22573,106941,44836,159,2.464998417350842,234,1716,38,0,0.2148303903934335,3.09,59190,24064,31096,0
567505,2784,20592,489516,489516,3055,39,49339,171,0,7157,518166,30365,3827,1457,16812,3798,0,306344,302517,1213,254146,53360,13596,10378,27495,149317,2083,3.134165710798335,455,1947,49,0,1.4736209122583612,17.36,208715,145817,3281,0
