BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NONII,NONIX,NUMEMP,ORE,SC,SCMUNI,SCUS,TRADE,ROA,ROE,NIMY
0.0073006920,0.3845780374,0.7749702548,0.5719624656,0.0063326610,0.0000809190,0.0783026191,0.0224445330,0.0256183560,0.0086343570,0.9216973809,0.0000000000,0.0004045950,0.0000000000,0.0107592300,0.0000000000,0.0001498500,0.1163135701,0.1159089751,0.0008871120,0.0091768140,0.0000000000,0.0000000000,0.0035694270,0.0056073870,0.0000000000,0.0016003980,0.0069920010,0.0071448480,0.0001316882,0.0000000000,0.3034852113,0.0010189800,0.1776082142,0.0153626220,0.6814429618522743,8.29,1.2161712774549083
0.0270898588,0.0233019389,0.8315865911,0.8315865911,0.0050288836,-0.0040534536,0.0484355187,0.0215407459,0.0008453727,0.0135855723,0.9515644813,0.0676948421,0.0046929021,0.0066708574,0.0406916883,0.0238167492,0.0000000000,0.6681749705,0.6634820683,0.0000000000,0.5354189472,0.3618520164,0.0104641963,0.0024819274,0.0469832118,0.1136375952,0.0064757714,0.0020429839,0.0081448405,0.0002167622,0.0013601829,0.2169464706,0.0214215267,0.1860253395,0.0000000000,2.618224044389305,55.45,3.8440470828819397
0.0055641876,0.0345189602,0.9403477092,0.9403477092,0.0026456137,0.0000000000,0.0570486709,0.0425187923,0.0000000000,0.0101205224,0.9429513291,0.0553689161,0.0028135892,0.0051232520,0.1483223449,0.0184353084,0.0000000000,0.3335363037,0.3307227145,0.0030445555,0.1083651787,0.0039684206,0.0000000000,0.0000000000,0.1009952547,0.0034015034,0.0013228069,0.0008188804,0.0069709822,0.0001889724,0.0011338345,0.5542770755,0.1377818838,0.4112879520,0.0000000000,0.5178206326864001,9.11,3.1145084916286647
0.0051228350,0.0700142947,0.8941524550,0.8941524550,0.0077091852,0.0010305508,0.1033110601,0.0000000000,0.0000000000,0.0154815332,0.8966889399,0.0314085303,0.0133074033,0.0803098301,0.0887536983,0.1798743393,0.0000000000,0.8109670556,0.7976596523,0.0034107909,0.5062497922,0.1301153552,0.0448189887,0.0020577773,0.0701638908,0.2590937801,0.0016422326,0.0003457332,0.0049233736,0.0001495961,0.0001529204,0.0944483229,0.0326418670,0.0618064559,0.0000000000,0.6691579480285069,6.4,3.334420799483721
0.0075205359,0.0834002073,0.9007701653,0.9007701653,0.0034300777,0.0001671849,0.0808645691,0.0045279255,0.0000000000,0.0113379253,0.9191354309,0.0000250777,0.0061858428,0.0011675082,0.0136590096,0.0061050367,0.0000000000,0.4926717268,0.4864858840,0.0111456627,0.4633001193,0.0041907692,0.0633491602,0.0195021232,0.2356248816,0.1406331851,0.0027557651,0.0016941407,0.0055756177,0.0001337480,0.0000000000,0.3833662130,0.1447236433,0.2386481426,0.0000000000,1.1131918581665257,13.52,3.383904098870094
0.0055239073,0.0166057901,0.9068674092,0.9068674092,0.0047768414,0.0001095048,0.0819387698,0.0656420265,0.0000000000,0.0138633040,0.9180612302,0.0040322090,0.0097191568,0.0017472095,0.0342068569,0.0037207288,0.0000000000,0.7043955215,0.6946763647,0.0019078165,0.6613942147,0.1165203764,0.1451765582,0.0018810486,0.1673476241,0.2304686074,0.0028763253,0.0005767251,0.0058791895,0.0001508732,0.0023701699,0.2006906101,0.0686765253,0.1320189516,0.0000000000,1.1564935350837282,14.13,3.821669088899351
0.0074361839,0.1785017590,0.9137002518,0.9137002518,0.0007419511,0.0000000000,0.0837987895,0.0000000000,0.0000000000,0.0120712940,0.9162012105,0.0446754589,0.0158060590,0.0048768695,0.0397402338,0.0196491989,0.0000000000,0.3872401087,0.3714340497,0.0161311836,0.2660769962,0.0934691632,0.0106540841,0.0051686480,0.0788635644,0.0779215366,0.0047768311,0.0012921620,0.0078446738,0.0002417593,0.0000000000,0.4325658169,0.1467979392,0.2857678777,0.0000000000,1.8698298226435415,21.84,4.578243238121708
0.0206406288,0.1212059930,0.9295273098,0.9295273098,0.0037456477,0.0000000000,0.0623834980,0.0296310625,0.0000000000,0.0113732283,0.9376165020,0.0447499385,0.0128855555,0.0089772448,0.1497247916,0.0377510287,0.0000000000,0.5183633454,0.5054777899,0.0000000000,0.2861375866,0.0564704744,0.0032532621,0.0000000000,0.0022157352,0.2241981149,0.0012881159,0.0007517673,0.0066252242,0.0002110224,0.0001099075,0.2985175676,0.0693076707,0.2292098970,0.0000000000,0.5003853223151787,8.16,3.1257811637904824
0.0143440368,0.0311094616,0.8460242907,0.8460242907,0.0028539616,0.0000000000,0.0989492814,0.0309712428,0.0023753152,0.0112622701,0.9010507186,0.0000000000,0.0099671091,0.0013745089,0.0142979638,0.0058998938,0.0000000000,0.5496653314,0.5396982224,0.0000000000,0.5293932452,0.0000000000,0.1896719864,0.0202797650,0.1531873504,0.1662541434,0.0025237723,0.0012490881,0.0064502092,0.0001740533,0.0000000000,0.3644368225,0.2170444220,0.1475869306,0.0000000000,1.0318921118074986,10.32,3.598930181028379
0.0185459180,0.2493371637,0.8885435960,0.8885435960,0.0015389683,0.0004049917,0.0597011702,0.0000000000,0.0000000000,0.0114990631,0.9402988298,0.0000000000,0.0040094174,0.0086263223,0.0349534800,0.0129543331,0.0000000000,0.3223760591,0.3183666416,0.0008045834,0.2743575482,0.0013364725,0.0287787072,0.0360118582,0.1230607649,0.0851697455,0.0031103359,0.0016631657,0.0072493507,0.0001970959,0.0000000000,0.3689015006,0.1064831064,0.1773566465,0.0000000000,1.2368660155762445,21.61,4.29183675546914
0.0246440861,0.0987281560,0.9107909948,0.9107909948,0.0045543486,0.0009952095,0.0825742752,0.0000000000,0.0000000000,0.0156759553,0.9174257248,0.0023615141,0.0076524301,0.0230641207,0.0708791580,0.0677642084,0.0000000000,0.7900501541,0.7823977240,0.0005622653,0.6482749702,0.0479218676,0.0665216022,0.0002642647,0.1157704159,0.4177968198,0.0028731754,0.0010064548,0.0073769201,0.0001967928,0.0000843398,0.0733587477,0.0000000000,0.0733587477,0.0000000000,1.1878886499680363,14.07,4.934544932923369
0.0093958719,0.2856463371,0.8843952313,0.8843952313,0.0011646428,0.0004029664,0.1067273958,0.0000000000,0.0027783717,0.0139086296,0.8932726042,0.0001896038,0.0073796423,0.0091033136,0.0290937076,0.0321623083,0.0000000000,0.3982262957,0.3908466534,0.0011222498,0.3313711432,0.0024094129,0.0855532589,0.0076498394,0.1167512430,0.1190073890,0.0073409762,0.0035144260,0.0065098871,0.0001923990,0.0002180211,0.2974064338,0.0149372421,0.2607993828,0.0000000000,2.8795791187570554,28.3,5.252990763676864
