date,case_count,probable_case_count,hospitalized_count,death_count,case_count_7day_avg,all_case_count_7day_avg,hosp_count_7day_avg,death_count_7day_avg,bx_case_count,bx_probable_case_count,bx_hospitalized_count,bx_death_count,bx_case_count_7day_avg,bx_probable_case_count_7day_avg,bx_all_case_count_7day_avg,bx_hospitalized_count_7day_avg,bx_death_count_7day_avg,bk_case_count,bk_probable_case_count,bk_hospitalized_count,bk_death_count,bk_case_count_7day_avg,bk_probable_case_count_7day_avg,bk_all_case_count_7day_avg,bk_hospitalized_count_7day_avg,bk_death_count_7day_avg,mn_case_count,mn_probable_case_count,mn_hospitalized_count,mn_death_count,mn_case_count_7day_avg,mn_probable_case_count_7day_avg,mn_all_case_count_7day_avg,mn_hospitalized_count_7day_avg,mn_death_count_7day_avg,qn_case_count,qn_probable_case_count,qn_hospitalized_count,qn_death_count,qn_case_count_7day_avg,qn_probable_case_count_7day_avg,qn_all_case_count_7day_avg,qn_hospitalized_count_7day_avg,qn_death_count_7day_avg,si_case_count,si_probable_case_count,si_hospitalized_count,si_death_count,si_probable_case_count_7day_avg,si_case_count_7day_avg,si_all_case_count_7day_avg,si_hospitalized_count_7day_avg,si_death_count_7day_avg
2021-01-01,1340,785,297,41,3808,4753,298,45,206,162,59,11,695,172,867,56,7,415,169,81,19,1100,252,1353,92,16,163,122,36,3,465,129,593,42,6,434,256,94,5,1143,310,1453,88,10,122,76,27,3,83,403,486,20,5
2021-01-02,4200,1069,325,62,3914,4884,307,48,723,187,54,13,722,178,899,57,8,1107,275,97,20,1112,256,1368,93,18,519,176,48,5,478,137,615,44,6,1341,322,100,16,1182,314,1496,92,11,509,109,26,8,85,420,505,21,6
2021-01-03,3464,1021,300,43,3996,4981,315,47,512,179,53,9,726,179,905,60,8,1065,293,94,12,1134,265,1399,93,17,396,159,36,5,490,142,632,45,5,1092,308,102,12,1214,313,1527,97,11,399,82,15,5,85,432,518,21,6
2021-01-04,6609,1470,411,65,4170,5194,323,50,1257,304,65,10,760,192,952,60,9,1896,343,139,26,1176,265,1441,98,19,917,260,62,6,524,157,680,46,5,1880,419,116,15,1264,317,1581,98,12,658,143,29,8,93,446,539,22,6
2021-01-05,6153,1400,353,73,4306,5386,327,53,1166,269,72,13,785,202,987,61,9,1759,398,101,23,1225,281,1507,100,20,890,220,53,11,563,170,733,45,5,1819,413,103,21,1295,330,1625,98,13,517,100,24,5,96,437,533,23,5
2021-01-06,5692,1281,381,66,4407,5521,336,56,1109,235,71,16,805,210,1015,61,11,1608,347,113,19,1255,289,1544,102,20,760,222,44,2,577,180,757,46,5,1687,387,122,23,1323,339,1662,103,15,525,90,31,6,96,445,541,25,5
2021-01-07,5449,1182,359,56,4701,5874,347,58,982,236,65,4,851,225,1075,63,11,1642,330,110,18,1356,308,1664,105,20,799,174,35,14,635,190,825,45,7,1573,352,121,13,1404,351,1755,108,15,452,90,28,7,99,455,553,26,6
2021-01-08,5305,1089,355,64,5267,6483,355,61,985,203,62,9,962,230,1192,63,11,1455,275,115,16,1505,323,1828,110,19,780,167,33,10,723,197,920,44,8,1603,371,119,21,1571,367,1938,112,17,481,72,26,8,98,506,604,26,7
2021-01-09,3693,895,331,73,5195,6386,356,63,677,179,61,15,955,229,1185,64,11,1009,257,94,23,1491,320,1811,109,20,447,129,35,11,713,190,903,43,8,1189,257,112,20,1549,358,1907,114,18,371,73,29,4,93,486,579,26,6
2021-01-10,3197,1008,310,57,5157,6346,357,65,461,220,52,11,948,235,1183,64,11,1008,319,87,18,1482,324,1807,108,20,366,141,48,3,708,188,896,44,8,1019,256,96,21,1539,351,1889,113,19,343,72,27,4,91,478,570,28,6
2021-01-11,5921,1346,403,61,5059,6230,356,64,1144,268,88,8,932,230,1162,67,11,1755,415,125,13,1462,334,1797,106,19,845,194,55,6,698,178,876,43,8,1705,384,108,32,1514,346,1859,112,22,469,85,27,2,83,451,534,27,5
2021-01-12,5241,1188,397,78,4928,6070,362,65,999,235,89,9,908,225,1133,70,10,1616,341,125,33,1442,326,1768,110,20,671,171,49,10,667,171,838,43,8,1540,335,103,21,1474,335,1808,112,22,415,106,31,5,84,437,521,28,5
2021-01-13,5184,1217,428,72,4856,5988,369,66,1045,264,94,5,899,229,1128,73,9,1534,336,128,23,1431,325,1756,112,21,697,197,60,6,658,168,825,45,9,1530,327,113,32,1451,326,1777,110,23,377,93,33,6,84,415,500,29,5
2021-01-14,5264,1129,430,70,4829,5954,379,68,996,233,78,7,901,229,1130,75,9,1560,331,136,24,1420,325,1744,116,21,748,181,62,7,651,169,819,49,8,1539,293,121,26,1446,318,1764,110,25,419,90,33,6,84,411,495,29,5
2021-01-15,4845,1081,390,69,4764,5887,384,69,932,225,72,12,893,232,1125,76,10,1400,326,128,11,1412,332,1744,118,21,663,145,48,14,634,165,799,51,8,1494,309,110,22,1431,309,1740,109,25,355,76,32,10,85,393,478,30,5
2021-01-16,3481,910,373,71,4733,5859,390,68,607,212,69,14,883,237,1120,77,9,1073,270,105,22,1421,334,1755,119,21,444,130,53,5,633,166,799,54,7,1060,240,121,28,1412,306,1719,110,26,297,58,25,2,83,382,465,30,5
2021-01-17,2919,1034,338,59,4694,5823,394,69,502,196,70,7,889,233,1123,80,9,903,331,103,27,1406,336,1742,121,22,395,160,55,6,638,168,806,55,8,863,285,87,17,1390,310,1701,109,25,256,62,23,2,81,370,451,29,5
2021-01-18,4645,1323,444,79,4511,5637,400,71,769,271,97,17,836,234,1069,81,10,1461,401,142,25,1364,334,1698,124,24,601,195,54,8,603,168,771,54,8,1435,341,119,22,1352,304,1656,111,24,379,114,32,7,86,357,442,30,5
2021-01-19,5140,1338,391,88,4497,5644,399,73,1085,267,73,11,848,238,1086,79,10,1476,429,117,31,1344,346,1690,123,23,723,211,63,11,610,174,784,56,8,1518,348,114,28,1348,306,1655,112,25,337,83,24,7,82,346,428,29,6
2021-01-20,4909,1271,372,80,4458,5613,391,74,1038,247,83,8,847,236,1083,77,11,1352,395,107,29,1318,355,1673,120,24,727,197,49,10,614,174,789,55,9,1440,358,115,26,1336,311,1646,112,24,352,73,18,7,79,342,422,27,6
2021-01-21,4942,1246,416,69,4412,5583,389,74,962,272,87,13,842,241,1084,79,12,1406,344,120,23,1296,357,1652,117,24,723,170,63,13,611,173,783,55,10,1501,373,121,16,1330,322,1652,112,23,350,87,25,4,79,332,411,26,6
2021-01-22,4715,1225,429,87,4393,5585,395,76,1062,273,98,12,861,248,1109,82,12,1324,344,125,37,1285,359,1644,117,28,707,188,57,9,617,179,796,56,9,1291,330,120,25,1301,325,1626,114,23,330,90,29,4,81,329,410,25,5
2021-01-23,3462,1028,324,85,4390,5600,388,78,682,216,75,12,871,249,1120,83,11,1013,278,93,32,1276,360,1637,115,29,500,175,53,10,625,185,810,56,10,1022,294,82,21,1296,333,1628,108,22,245,65,21,10,82,321,403,25,6
2021-01-24,2927,967,334,74,4391,5591,387,80,507,207,76,9,872,250,1123,84,12,905,263,98,24,1277,351,1627,115,29,413,164,49,9,628,186,813,55,10,923,275,91,24,1304,331,1636,109,23,179,58,20,8,81,310,392,24,7
2021-01-25,5808,1417,403,71,4558,5771,381,79,1173,275,100,10,930,251,1181,85,11,1762,434,111,20,1320,355,1675,110,28,876,231,64,12,667,191,858,57,11,1631,388,110,21,1332,338,1670,108,23,365,89,18,8,78,308,386,22,7
2021-01-26,4861,1236,369,86,4518,5716,378,79,1003,282,82,11,918,253,1171,86,11,1420,316,99,33,1312,339,1651,108,28,764,222,50,12,673,192,865,55,11,1388,347,117,28,1314,338,1652,108,23,285,68,21,2,76,301,377,22,6
2021-01-27,5003,1198,426,95,4531,5719,386,81,991,267,87,12,911,256,1167,86,11,1503,355,130,31,1333,333,1667,111,29,822,206,57,23,686,194,880,56,13,1407,303,124,24,1309,330,1639,109,23,279,67,28,5,75,290,365,23,6
2021-01-28,4778,1156,391,90,4508,5683,382,84,953,224,106,21,910,249,1159,89,12,1431,369,113,17,1337,337,1674,110,28,755,187,52,18,691,196,887,55,13,1367,317,104,27,1290,322,1612,107,24,270,59,16,7,71,279,350,22,6
2021-01-29,3667,1001,408,89,4358,5501,379,84,732,237,84,18,863,244,1107,87,13,1096,297,127,28,1304,330,1635,110,26,529,163,68,10,666,193,858,56,13,1074,243,113,27,1259,310,1568,106,25,234,61,16,6,67,265,332,20,7
2021-01-30,2875,821,272,84,4274,5388,372,84,557,183,58,16,845,239,1084,85,14,873,235,76,28,1284,324,1608,108,26,359,129,47,9,645,186,831,55,13,922,224,73,27,1245,300,1544,105,25,164,49,18,4,64,254,318,20,6
2021-01-31,2894,948,303,76,4269,5380,367,84,547,200,63,8,851,238,1089,83,14,884,260,97,27,1281,324,1605,108,26,334,189,38,9,634,190,824,54,13,911,243,88,26,1243,295,1538,104,26,218,55,17,6,64,259,323,19,5
2021-02-01,977,547,289,66,3579,4566,351,84,169,110,83,12,707,215,922,80,14,342,165,82,22,1078,285,1364,103,27,189,98,41,5,536,171,707,50,12,234,152,70,24,1043,261,1305,98,26,43,22,13,3,54,213,268,18,5
2021-02-02,2660,535,401,82,3265,4151,356,83,434,113,89,14,626,191,817,81,14,873,150,140,30,1000,262,1262,109,26,441,93,58,8,490,152,642,52,12,770,143,96,24,955,232,1187,95,26,142,35,18,6,50,193,243,18,5
2021-02-03,5144,1083,436,80,3285,4155,357,81,1093,251,95,15,641,188,829,83,15,1505,303,147,20,1001,254,1255,112,25,822,204,69,14,490,152,642,53,10,1403,260,107,24,954,226,1180,93,26,321,65,18,7,49,199,248,17,6
2021-02-04,4831,1111,436,97,3293,4156,364,82,1071,255,86,21,658,193,850,80,15,1372,301,142,30,992,244,1237,116,26,705,198,74,15,483,153,636,56,10,1398,288,120,28,959,222,1181,95,26,285,69,14,3,51,201,252,16,5
2021-02-05,4161,1115,439,85,3363,4243,368,81,953,248,101,14,689,194,883,82,14,1247,297,137,33,1014,244,1258,117,27,537,214,67,12,484,161,645,56,10,1182,285,114,22,974,228,1202,95,25,242,71,20,4,52,202,254,17,5
2021-02-06,3080,863,356,81,3392,4278,380,81,719,179,81,12,712,194,906,85,14,900,251,90,27,1018,247,1264,119,27,389,156,66,10,488,165,653,59,10,892,223,97,25,970,228,1198,99,25,180,54,22,7,53,204,257,17,5
2021-02-07,1645,722,310,80,3214,4068,381,82,324,154,84,20,680,187,868,88,15,567,216,103,21,972,240,1213,120,26,202,130,38,14,469,156,625,59,11,453,176,75,22,905,218,1123,97,24,99,46,10,3,52,187,239,16,5
2021-02-08,4431,1166,390,86,3707,4650,395,84,972,281,96,19,795,212,1007,90,16,1345,347,124,24,1116,266,1382,126,26,610,173,60,17,529,167,696,62,13,1237,294,91,21,1048,238,1286,100,24,267,71,19,5,59,219,278,17,5
2021-02-09,3722,1017,395,71,3859,4870,395,83,873,221,95,9,858,227,1085,91,16,1082,298,106,25,1145,288,1433,121,26,518,170,56,13,540,178,718,61,14,1004,273,112,21,1081,257,1338,102,23,245,55,26,3,62,234,296,18,5
2021-02-10,3777,984,355,81,3664,4661,383,83,868,190,83,21,826,218,1044,89,17,1061,252,116,20,1082,280,1362,117,26,569,183,43,9,504,175,679,58,13,1005,287,91,26,1024,261,1285,100,24,274,72,22,5,63,227,290,19,4
2021-02-11,3411,915,324,99,3461,4430,367,83,723,186,64,22,776,208,984,86,17,931,293,109,31,1019,279,1298,112,26,548,172,51,14,482,171,653,54,13,977,213,85,27,964,250,1214,95,23,228,51,15,5,60,219,279,19,5
2021-02-12,3315,840,342,83,3340,4270,353,83,726,197,78,13,744,201,945,83,17,934,237,104,29,974,271,1245,107,25,494,137,48,9,476,160,636,52,12,929,227,88,27,928,242,1170,91,24,231,42,24,5,56,218,274,20,5
2021-02-13,2209,806,281,87,3216,4137,342,84,420,162,70,14,701,199,900,81,17,671,224,73,27,942,267,1208,105,25,276,147,42,15,460,159,618,48,13,707,218,87,26,902,241,1143,90,24,135,55,9,5,56,211,267,18,4
2021-02-14,1898,794,243,83,3252,4184,333,84,371,158,58,13,708,199,907,78,16,587,234,82,29,944,269,1214,102,26,245,116,33,17,466,157,623,48,13,580,227,56,21,920,248,1168,87,24,115,59,14,3,58,214,271,18,4
2021-02-15,2860,693,317,85,3027,3892,322,84,527,141,71,16,644,179,823,74,15,859,196,94,30,875,248,1123,98,27,366,89,47,13,431,145,576,46,13,873,218,89,22,868,238,1105,87,24,234,49,16,4,55,209,264,18,4
2021-02-16,3722,950,353,86,3027,3882,316,86,787,199,79,17,632,176,808,72,17,1109,289,116,33,879,246,1125,99,28,611,158,53,6,444,143,587,45,12,1024,240,93,27,871,233,1104,84,25,190,64,12,3,56,201,257,16,4
2021-02-17,3434,1024,293,85,2978,3839,308,87,771,226,64,26,618,181,799,69,17,1005,299,100,24,871,253,1124,97,29,540,158,40,7,440,140,580,45,12,922,285,81,25,859,233,1091,83,25,196,56,8,3,54,190,244,14,4
2021-02-18,2049,797,258,58,2784,3627,298,81,384,164,52,8,569,178,748,67,15,591,246,77,22,822,246,1069,92,28,410,151,38,8,420,137,557,43,11,554,203,81,18,798,231,1030,82,24,110,33,10,2,51,173,224,13,4
2021-02-19,3007,984,299,58,2740,3604,292,77,608,201,72,9,553,179,731,67,15,854,308,80,17,811,257,1067,89,26,462,160,42,11,416,140,556,42,11,856,250,91,20,788,234,1022,83,23,227,65,14,1,54,172,227,12,3
2021-02-20,2495,927,296,75,2781,3662,294,76,510,204,71,24,565,185,750,67,16,681,281,88,19,812,265,1077,91,25,347,145,41,9,426,140,565,42,10,785,256,86,16,799,240,1039,82,21,172,41,10,7,52,178,230,12,3
2021-02-21,2286,583,274,62,2836,3687,299,73,359,113,57,19,564,178,742,67,17,792,183,85,15,842,257,1099,91,23,318,57,34,5,436,131,567,42,8,666,201,84,20,811,236,1048,86,21,151,29,14,3,48,183,231,12,3
2021-02-22,3624,973,347,73,2945,3836,303,71,751,185,80,12,596,185,780,68,16,1117,300,116,27,878,272,1151,95,22,547,166,53,10,462,142,604,43,8,981,258,85,19,827,242,1069,86,21,228,64,13,5,50,182,232,12,3
2021-02-23,3473,1055,331,80,2910,3816,300,70,731,237,69,19,588,190,778,66,17,1073,302,109,22,873,274,1147,94,21,533,169,46,12,451,144,595,42,9,934,302,93,24,814,251,1065,86,20,201,45,14,3,48,184,231,12,3
2021-02-24,3464,997,353,82,2914,3816,308,70,713,187,71,14,579,184,764,67,15,1023,302,106,24,876,275,1150,94,21,568,189,48,19,455,148,603,43,11,943,283,118,17,817,250,1067,91,19,217,35,10,8,45,187,231,12,4
