timestamp,demo_api_http_requests_in_progress,demo_disk_usage_bytes,methodGET_status200,methodGET_status404,node_load1,node_load15,node_load5,node_memory_Buffers_bytes,node_memory_Cached_bytes,node_memory_MemAvailable_bytes,request_rate_total
1785160000,2,1.11463e+11,174.189,4.21053,0.34,0.3,0.31,8.86743e+07,6.48294e+09,7.1749e+09,207.425
1785160300,0,1.11617e+11,151.193,3.2386,0.13,0.28,0.26,8.86743e+07,6.48374e+09,7.16915e+09,177.874
1785160600,0,1.11762e+11,129.249,2.55088,0.18,0.33,0.34,8.86743e+07,6.48453e+09,7.16415e+09,150.66
1785160900,1,1.11916e+11,116.856,2.22456,0.08,0.27,0.2,8.86743e+07,6.48951e+09,7.1661e+09,136.151
1785161200,0,1.12068e+11,111.383,2.1193,0.13,0.26,0.22,8.86743e+07,6.49037e+09,7.16884e+09,129.839
1785161500,2,1.12216e+11,114.281,2.14737,0.18,0.27,0.27,8.86743e+07,6.49143e+09,7.17009e+09,132.593
1785161800,1,1.12364e+11,121.509,2.33334,0.74,0.3,0.38,8.86743e+07,6.49221e+09,7.17073e+09,141.726
1785162100,1,1.12519e+11,134.853,2.81053,0.77,0.37,0.52,8.86743e+07,6.493e+09,7.17259e+09,158.183
1785162400,1,1.12669e+11,163.495,3.67018,0.52,0.41,0.51,8.86743e+07,6.49378e+09,7.18142e+09,192.463
1785162700,1,1.12818e+11,186.825,4.61404,0.23,0.36,0.35,8.86743e+07,6.4947e+09,7.17418e+09,222.533
1785163000,2,1.12963e+11,194.183,5.12281,0.16,0.35,0.34,8.86743e+07,6.49548e+09,7.17816e+09,232.695
1785163300,1,1.13114e+11,195.944,4.97192,0.25,0.31,0.26,8.86743e+07,6.49626e+09,7.16263e+09,232.996
1785163600,2,1.13265e+11,177.597,4.21404,0.2,0.33,0.31,8.86743e+07,6.49704e+09,7.17632e+09,211.063
1785163900,1,1.13413e+11,149.533,3.23859,0.11,0.32,0.29,8.86743e+07,6.49798e+09,7.17279e+09,175.775
1785164200,0,1.13558e+11,128.484,2.55088,0.15,0.27,0.2,8.86743e+07,6.49876e+09,7.17219e+09,150.348
1785164500,2,1.13709e+11,117.428,2.22106,0.33,0.31,0.34,8.86743e+07,6.46563e+09,7.16168e+09,136.414
1785164800,1,1.13858e+11,112.632,2.1193,0.12,0.29,0.28,8.86743e+07,6.46641e+09,7.16279e+09,130.874
1785165100,1,1.14007e+11,112.038,2.14736,0.12,0.25,0.2,8.86743e+07,6.4672e+09,7.16399e+09,130.877
1785165400,0,1.1416e+11,121.53,2.33333,0.21,0.21,0.16,8.86743e+07,6.46798e+09,7.16119e+09,141.354
1785165700,2,1.14313e+11,137.954,2.81404,0.28,0.22,0.23,8.86743e+07,6.46889e+09,7.16084e+09,161.032
1785166000,1,1.14467e+11,159.393,3.66666,0.34,0.22,0.25,8.86743e+07,6.46967e+09,7.16157e+09,189.375
1785166300,0,1.14618e+11,186.572,4.62105,0.14,0.19,0.18,8.86743e+07,6.47046e+09,7.16637e+09,221.34
1785166600,0,1.14773e+11,199.263,5.12281,0.33,0.21,0.27,8.86743e+07,6.47125e+09,7.16364e+09,237.674
1785166900,1,1.1492e+11,192.544,4.97194,0.48,0.29,0.42,8.86743e+07,6.47216e+09,7.16286e+09,230.579
1785167200,0,1.15068e+11,177.6,4.21052,0.34,0.29,0.38,8.86743e+07,6.47294e+09,7.16764e+09,210.242
1785167500,0,1.15218e+11,151.277,3.23859,0.1,0.23,0.18,8.86743e+07,6.47372e+09,7.17083e+09,177.845
1785167800,1,1.15367e+11,128.421,2.55439,0.31,0.25,0.26,8.86743e+07,6.47451e+09,7.15419e+09,150.074
1785168100,2,1.15519e+11,115.765,2.22105,0.01,0.2,0.13,8.86743e+07,6.47948e+09,7.16535e+09,134.723
1785168400,1,1.15671e+11,112.954,2.11929,0.48,0.27,0.36,8.86743e+07,6.48027e+09,7.16817e+09,131.505
1785168700,2,1.15826e+11,114,2.15088,0.23,0.27,0.32,8.86743e+07,6.48118e+09,7.16387e+09,132.256
1785169000,0,1.15974e+11,118.951,2.33684,0.21,0.25,0.24,8.86743e+07,6.48196e+09,7.15744e+09,138.937
1785169300,2,1.16123e+11,137.972,2.82106,0.3,0.27,0.28,8.86743e+07,6.48275e+09,7.16129e+09,161.565
1785169600,2,1.16274e+11,163.2,3.66667,0.32,0.31,0.37,8.86743e+07,6.48353e+09,7.16068e+09,192.382
1785169900,0,1.16425e+11,182.389,4.62105,0.55,0.41,0.56,8.86743e+07,6.48446e+09,7.15818e+09,217.27
1785170200,2,1.16575e+11,199.095,5.12631,0.7,0.42,0.53,8.86743e+07,6.48523e+09,7.16165e+09,238.593
1785170500,0,1.16726e+11,195.467,4.96842,0.32,0.38,0.39,8.86743e+07,6.48602e+09,7.16879e+09,232.382
1785170800,1,1.16875e+11,176.344,4.21404,0.36,0.34,0.31,8.86743e+07,6.48693e+09,7.16807e+09,209.53
1785171100,2,1.17025e+11,150.333,3.24211,1.6,0.55,0.9,8.86743e+07,6.48773e+09,7.17126e+09,176.937
1785171400,0,1.17173e+11,129.291,2.55439,0.34,0.52,0.62,8.86743e+07,6.48853e+09,7.16457e+09,150.639
1785171700,0,1.17322e+11,116.66,2.22456,0.88,0.56,0.65,8.86743e+07,6.49129e+09,7.16916e+09,135.972
1785172000,0,1.17467e+11,110.804,2.12281,0.27,0.44,0.34,8.86743e+07,6.49209e+09,7.16227e+09,129.218
1785172300,0,1.17614e+11,114.306,2.14386,0.22,0.41,0.33,8.86743e+07,6.49287e+09,7.1719e+09,132.558
1785172600,1,1.17762e+11,121.102,2.33684,0.46,0.37,0.31,8.86743e+07,6.49379e+09,7.172e+09,141.365
1785172900,1,1.1791e+11,134.997,2.81755,0.19,0.38,0.35,8.86743e+07,6.49458e+09,7.16463e+09,158.249
1785173200,1,1.18058e+11,163.435,3.66667,0.18,0.37,0.35,8.86743e+07,6.49538e+09,7.17319e+09,192.47
1785173500,0,1.1821e+11,186.512,4.62105,0.21,0.34,0.3,8.86743e+07,6.4963e+09,7.17416e+09,222.137
1785173800,0,1.18362e+11,196.597,5.12632,0.35,0.38,0.42,8.86743e+07,6.49709e+09,7.16796e+09,234.99
1785174100,1,1.18513e+11,195.358,4.97544,0.68,0.4,0.47,8.86743e+07,6.49801e+09,7.17368e+09,232.793
1785174400,0,1.18664e+11,177.533,4.20702,0.18,0.36,0.35,8.86743e+07,6.4988e+09,7.17046e+09,211.028
1785174700,1,1.18809e+11,150.674,3.24211,0.42,0.35,0.34,8.86743e+07,6.49959e+09,7.1716e+09,176.814
1785175000,0,1.18954e+11,127.221,2.55439,0.37,0.3,0.28,8.86743e+07,6.50052e+09,7.16499e+09,149.2
1785175300,2,1.19103e+11,117.407,2.22456,0.21,0.27,0.25,8.86743e+07,6.50551e+09,7.17558e+09,136.305
1785175600,0,1.19251e+11,112.498,2.1193,1.09,0.46,0.72,8.86743e+07,6.50644e+09,7.17827e+09,130.755
1785175900,1,1.19403e+11,112.004,2.14737,0.68,0.59,0.84,8.86743e+07,6.50723e+09,7.17807e+09,130.877
1785176200,0,1.19552e+11,121.551,2.33333,0.18,0.5,0.46,8.86743e+07,6.50802e+09,7.17998e+09,141.393
1785176500,0,1.19704e+11,137.516,2.81052,0.26,0.46,0.41,8.86743e+07,6.50895e+09,7.17777e+09,160.484
1785176800,1,1.19856e+11,160.046,3.67018,0.16,0.42,0.34,8.86743e+07,6.50974e+09,7.17809e+09,190.081
1785177100,1,1.20007e+11,186.386,4.61404,0.96,0.51,0.64,8.86743e+07,6.51053e+09,7.17496e+09,221.102
1785177400,2,1.20154e+11,199.066,5.1228,0.24,0.47,0.45,8.86743e+07,6.51145e+09,7.17271e+09,237.512
1785177700,2,1.2031e+11,194.804,4.97193,0.6,0.46,0.46,8.86743e+07,6.51223e+09,7.17576e+09,232.754
1785178000,0,1.20466e+11,176.572,4.21054,0.25,0.37,0.29,8.86743e+07,6.51301e+09,7.17038e+09,209.239
1785178300,1,1.20614e+11,151.158,3.23859,0.17,0.36,0.32,8.86743e+07,6.51394e+09,7.17598e+09,177.88
1785178600,0,1.20763e+11,128.744,2.54737,0.28,0.33,0.28,8.86743e+07,6.51475e+09,7.17017e+09,150.281
